Time from start of file(), Time from initialisation(), Time from start of region(), Time(hh:mm:ss), Time(s), Seconds from midnight Sunday(), Latitude(deg), Longitude(deg), Altitude(m), Distance horizontal(m), Velocity forward(m/s), Velocity lateral(m/s), Velocity down(m/s), Speed horizontal(m/s), Number of GPS satellites used(), GPS position mode(), GPS velocity mode(), GPS dual antenna attitude mode(), Heading(deg), Pitch(deg), Roll(deg), Slip angle(deg), Angular rate forward(deg/s), Angular rate lateral(), Angular rate down(deg/s), Angular rate Xv(deg/s), Angular rate Yv(deg/s), Angular rate Zv(deg/s), Acceleration forward(m/s²), Acceleration lateral(m/s²), Acceleration down(m/s²), Acceleration Xv(m/s²), Acceleration Yv(m/s²), Acceleration Zv(m/s²)
0.008,0,0, 2021/07/20 18:25:36.008 PM,1310840736,239136.008,37.42900374,-122.1843971,40.811,0,0,0,0.22,0,7, SPS (3), Doppler (2), None (),0,0,0,0,0,0,0,-1.06,-1.67,-0.4,0,0,0,-10.103,-0.194,0.28
0.02,0,0.012, 2021/07/20 18:25:36.020 PM,1310840736,239136.02,37.42898493,-122.1843995,40.848,0,0,0,-0.51,0,7, SPS (3), Doppler (2), None (),0,0,0,0,0,0,0,-1.8,-1.32,-0.17,0,0,0,-9.779,-0.305,0.352
0.028,0,0.02, 2021/07/20 18:25:36.028 PM,1310840736,239136.028,37.42898493,-122.1843995,40.848,0,0,0,-0.51,0,7, SPS (3), Doppler (2), None (),0,0,0,0,0,0,0,-1.74,-1.25,0.2,0,0,0,-9.846,-0.135,0.249
0.04,0,0.032, 2021/07/20 18:25:36.040 PM,1310840736,239136.04,37.42898493,-122.1843995,40.848,0,0,0,-0.51,0,7, SPS (3), Doppler (2), None (),0,0,0,0,0,0,0,-1.71,-1.55,0.43,0,0,0,-9.538,-0.308,0.481
0.048,0,0.04, 2021/07/20 18:25:36.048 PM,1310840736,239136.048,37.42898493,-122.1843995,40.848,0,0,0,-0.51,0,7, SPS (3), Doppler (2), None (),0,0,0,0,0,0,0,-0.78,-1.02,0.67,0,0,0,-9.603,-0.171,0.279
0.06,0,0.052, 2021/07/20 18:25:36.060 PM,1310840736,239136.06,37.42898493,-122.1843995,40.848,0,0,0,-0.51,0,7, SPS (3), Doppler (2), None (),0,0,0,0,0,0,0,-1.17,-0.57,0.45,0,0,0,-9.419,-0.253,0.427
0.068,0,0.06, 2021/07/20 18:25:36.068 PM,1310840736,239136.068,37.42898493,-122.1843995,40.848,0,0,0,-0.51,0,7, SPS (3), Doppler (2), None (),0,0,0,0,0,0,0,-1.67,-0.33,0.21,0,0,0,-9.495,-0.13,0.532
0.08,0,0.072, 2021/07/20 18:25:36.080 PM,1310840736,239136.08,37.42897738,-122.1844003,40.938,0,0,0,-0.15,0,7, SPS (3), Doppler (2), None (),0,0,0,0,0,0,0,-1.75,-0.62,-0.42,0,0,0,-9.404,-0.326,0.445
0.088,0,0.08, 2021/07/20 18:25:36.088 PM,1310840736,239136.088,37.42897738,-122.1844003,40.938,0,0,0,-0.15,0,7, SPS (3), Doppler (2), None (),0,0,0,0,0,0,0,-1.32,-0.61,-0.13,0,0,0,-9.379,-0.134,0.427
0.1,0,0.092, 2021/07/20 18:25:36.100 PM,1310840736,239136.1,37.42897738,-122.1844003,40.938,0,0,0,-0.15,0,7, SPS (3), Doppler (2), None (),0,0,0,0,0,0,0,-0.77,-0.09,-0.84,0,0,0,-9.508,-0.067,0.223
0.108,0,0.1, 2021/07/20 18:25:36.108 PM,1310840736,239136.108,37.42897738,-122.1844003,40.938,0,0,0,0.02,0,7, SPS (3), Doppler (2), None (),0,0,0,0,0,0,0,-1.53,-0.08,0.16,0,0,0,-9.556,-0.321,0.337
0.12,0,0.112, 2021/07/20 18:25:36.120 PM,1310840736,239136.12,37.42897738,-122.1844003,40.938,0,0,0,0.02,0,7, SPS (3), Doppler (2), None (),0,0,0,0,0,0,0,-0.46,-0.06,-0.68,0,0,0,-9.785,-0.271,0.303
0.128,0,0.12, 2021/07/20 18:25:36.128 PM,1310840736,239136.128,37.42897738,-122.1844003,40.938,0,0,0,0.02,0,7, SPS (3), Doppler (2), None (),0,0,0,0,0,0,0,-1.46,0.24,-1.08,0,0,0,-9.804,-0.126,0.284
0.14,0,0.132, 2021/07/20 18:25:36.140 PM,1310840736,239136.14,37.42897738,-122.1844003,40.938,0,0,0,0.02,0,7, SPS (3), Doppler (2), None (),0,0,0,0,0,0,0,-1.04,-0.46,0.51,0,0,0,-9.881,-0.218,0.206
0.148,0,0.14, 2021/07/20 18:25:36.148 PM,1310840736,239136.148,37.42897738,-122.1844003,40.938,0,0,0,0.02,0,7, SPS (3), Doppler (2), None (),0,0,0,0,0,0,0,-1.67,0.17,0.14,0,0,0,-9.892,-0.223,0.082
0.16,0,0.152, 2021/07/20 18:25:36.160 PM,1310840736,239136.16,37.42897738,-122.1844003,40.938,0,0,0,0.02,0,7, SPS (3), Doppler (2), None (),0,0,0,0,0,0,0,-1.52,-0.07,0.54,0,0,0,-9.961,-0.148,0.05
0.168,0,0.16, 2021/07/20 18:25:36.168 PM,1310840736,239136.168,37.42897738,-122.1844003,40.938,0,0,0,0.02,0,7, SPS (3), Doppler (2), None (),0,0,0,0,0,0,0,-1.75,-0.74,0.34,0,0,0,-9.957,-0.134,0.224
0.18,0,0.172, 2021/07/20 18:25:36.180 PM,1310840736,239136.18,37.42897738,-122.1844003,40.938,0,0,0,0.02,0,7, SPS (3), Doppler (2), None (),0,0,0,0,0,0,0,-1.27,-0.68,-0.25,0,0,0,-9.942,-0.135,0.122
0.188,0,0.18, 2021/07/20 18:25:36.188 PM,1310840736,239136.188,37.42897738,-122.1844003,40.938,0,0,0,0.02,0,7, SPS (3), Doppler (2), None (),0,0,0,0,0,0,0,-1.44,-0.44,0.19,0,0,0,-9.955,-0.245,0.121
0.2,0,0.192, 2021/07/20 18:25:36.200 PM,1310840736,239136.2,37.42897738,-122.1844003,40.938,0,0,0,0.02,0,7, SPS (3), Doppler (2), None (),0,0,0,0,0,0,0,0.39,-0.54,0.34,0,0,0,-9.868,-0.178,0.07
0.208,0,0.2, 2021/07/20 18:25:36.208 PM,1310840736,239136.208,37.42897738,-122.1844003,40.938,0,0,0,0.1,0,7, SPS (3), Doppler (2), None (),0,0,0,0,0,0,0,-1.4,-0.51,-0.1,0,0,0,-9.913,-0.275,0.242
0.22,0,0.212, 2021/07/20 18:25:36.220 PM,1310840736,239136.22,37.42897738,-122.1844003,40.938,0,0,0,0.1,0,7, SPS (3), Doppler (2), None (),0,0,0,0,0,0,0,-0.85,-0.34,0.89,0,0,0,-9.748,-0.292,0.263
0.228,0,0.22, 2021/07/20 18:25:36.228 PM,1310840736,239136.228,37.42897738,-122.1844003,40.938,0,0,0,0.1,0,7, SPS (3), Doppler (2), None (),0,0,0,0,0,0,0,-1.17,-0.84,-0.28,0,0,0,-9.777,-0.276,0.156
0.24,0,0.232, 2021/07/20 18:25:36.240 PM,1310840736,239136.24,37.42897738,-122.1844003,40.938,0,0,0,0.1,0,7, SPS (3), Doppler (2), None (),0,0,0,0,0,0,0,-1.59,-0.88,0.31,0,0,0,-9.777,-0.123,0.223
0.248,0,0.24, 2021/07/20 18:25:36.248 PM,1310840736,239136.248,37.42897738,-122.1844003,40.938,0,0,0,0.1,0,7, SPS (3), Doppler (2), None (),0,0,0,0,0,0,0,-1.59,-0.17,0.29,0,0,0,-9.797,-0.265,0.346
0.26,0,0.252, 2021/07/20 18:25:36.260 PM,1310840736,239136.26,37.42897738,-122.1844003,40.938,0,0,0,0.1,0,7, SPS (3), Doppler (2), None (),0,0,0,0,0,0,0,-2.02,0.19,0.01,0,0,0,-9.906,-0.16,0.092
0.268,0,0.26, 2021/07/20 18:25:36.268 PM,1310840736,239136.268,37.42897738,-122.1844003,40.938,0,0,0,0.1,0,7, SPS (3), Doppler (2), None (),0,0,0,0,0,0,0,-1.3,0.09,-0.2,0,0,0,-9.881,-0.119,0.135
0.28,0,0.272, 2021/07/20 18:25:36.280 PM,1310840736,239136.28,37.42897738,-122.1844003,40.938,0,0,0,0.1,0,7, SPS (3), Doppler (2), None (),0,0,0,0,0,0,0,-0.64,0.14,0.32,0,0,0,-9.921,-0.016,0.003
0.288,0,0.28, 2021/07/20 18:25:36.288 PM,1310840736,239136.288,37.42897738,-122.1844003,40.938,0,0,0,0.1,0,7, SPS (3), Doppler (2), None (),0,0,0,0,0,0,0,-1.27,0.26,-0.48,0,0,0,-9.802,-0.117,0.102
0.3,0,0.292, 2021/07/20 18:25:36.300 PM,1310840736,239136.3,37.42897738,-122.1844003,40.938,0,0,0,0.1,0,7, SPS (3), Doppler (2), None (),0,0,0,0,0,0,0,-1.45,0.3,-0.75,0,0,0,-9.98,-0.092,0.05
0.308,0,0.3, 2021/07/20 18:25:36.308 PM,1310840736,239136.308,37.42897738,-122.1844003,40.938,0,0,0,-0.02,0,7, SPS (3), Doppler (2), None (),0,0,0,0,0,0,0,-1.9,-0.22,-1.19,0,0,0,-9.836,-0.089,0.199
0.32,0,0.312, 2021/07/20 18:25:36.320 PM,1310840736,239136.32,37.42897738,-122.1844003,40.938,0,0,0,-0.02,0,7, SPS (3), Doppler (2), None (),0,0,0,0,0,0,0,-1.33,0.14,-0.13,0,0,0,-9.834,-0.022,0.099
0.328,0,0.32, 2021/07/20 18:25:36.328 PM,1310840736,239136.328,37.42897738,-122.1844003,40.938,0,0,0,-0.02,0,7, SPS (3), Doppler (2), None (),0,0,0,0,0,0,0,-1.2,-0.02,-1.43,0,0,0,-9.707,-0.014,0.072
0.34,0,0.332, 2021/07/20 18:25:36.340 PM,1310840736,239136.34,37.42897738,-122.1844003,40.938,0,0,0,-0.02,0,7, SPS (3), Doppler (2), None (),0,0,0,0,0,0,0,-1.49,-0.49,-0.46,0,0,0,-9.754,-0.138,0.151
0.348,0,0.34, 2021/07/20 18:25:36.348 PM,1310840736,239136.348,37.42897738,-122.1844003,40.938,0,0,0,-0.02,0,7, SPS (3), Doppler (2), None (),0,0,0,0,0,0,0,-1.46,-0.51,-0.2,0,0,0,-9.576,-0.031,0.242
0.36,0,0.352, 2021/07/20 18:25:36.360 PM,1310840736,239136.36,37.42897738,-122.1844003,40.938,0,0,0,-0.02,0,7, SPS (3), Doppler (2), None (),0,0,0,0,0,0,0,-1.22,-0.03,-1.05,0,0,0,-9.694,0.019,0.08
0.368,0,0.36, 2021/07/20 18:25:36.368 PM,1310840736,239136.368,37.42897738,-122.1844003,40.938,0,0,0,-0.02,0,7, SPS (3), Doppler (2), None (),0,0,0,0,0,0,0,-1.68,-0.07,-0.16,0,0,0,-9.556,-0.064,0.323
0.38,0,0.372, 2021/07/20 18:25:36.380 PM,1310840736,239136.38,37.42897738,-122.1844003,40.938,0,0,0,-0.02,0,7, SPS (3), Doppler (2), None (),0,0,0,0,0,0,0,-1.45,-0.58,-0.8,0,0,0,-9.674,-0.115,0.24
0.388,0,0.38, 2021/07/20 18:25:36.388 PM,1310840736,239136.388,37.42897738,-122.1844003,40.938,0,0,0,-0.02,0,7, SPS (3), Doppler (2), None (),0,0,0,0,0,0,0,-1.58,0.06,-0.43,0,0,0,-9.592,-0.199,0.304
0.4,0,0.392, 2021/07/20 18:25:36.400 PM,1310840736,239136.4,37.42897738,-122.1844003,40.938,0,0,0,-0.02,0,7, SPS (3), Doppler (2), None (),0,0,0,0,0,0,0,-0.78,-0.34,0.15,0,0,0,-9.725,-0.254,0.284
0.408,0,0.4, 2021/07/20 18:25:36.408 PM,1310840736,239136.408,37.42897738,-122.1844003,40.938,0,0,0,-0.02,0,7, SPS (3), Doppler (2), None (),0,0,0,0,0,0,0,-2.02,0.36,-0.7,0,0,0,-9.667,-0.197,0.197
0.42,0,0.412, 2021/07/20 18:25:36.420 PM,1310840736,239136.42,37.42897738,-122.1844003,40.938,0,0,0,-0.2,0,7, SPS (3), Doppler (2), None (),0,0,0,0,0,0,0,-0.62,0.48,-0.23,0,0,0,-9.755,-0.149,0.031
0.428,0,0.42, 2021/07/20 18:25:36.428 PM,1310840736,239136.428,37.42897738,-122.1844003,40.938,0,0,0,-0.2,0,7, SPS (3), Doppler (2), None (),0,0,0,0,0,0,0,-0.92,0.09,-0.2,0,0,0,-9.8,-0.231,0.176
0.44,0,0.432, 2021/07/20 18:25:36.440 PM,1310840736,239136.44,37.42897738,-122.1844003,40.938,0,0,0,-0.2,0,7, SPS (3), Doppler (2), None (),0,0,0,0,0,0,0,-1.41,-0.33,-0.58,0,0,0,-9.911,-0.182,0.333
0.448,0,0.44, 2021/07/20 18:25:36.448 PM,1310840736,239136.448,37.42897738,-122.1844003,40.938,0,0,0,-0.2,0,7, SPS (3), Doppler (2), None (),0,0,0,0,0,0,0,-0.92,0.56,-0.18,0,0,0,-9.948,-0.249,0.043
0.46,0,0.452, 2021/07/20 18:25:36.460 PM,1310840736,239136.46,37.42897738,-122.1844003,40.938,0,0,0,-0.2,0,7, SPS (3), Doppler (2), None (),0,0,0,0,0,0,0,-1.16,-0.44,0.03,0,0,0,-10.063,-0.337,0.273
0.468,0,0.46, 2021/07/20 18:25:36.468 PM,1310840736,239136.468,37.42897738,-122.1844003,40.938,0,0,0,-0.2,0,7, SPS (3), Doppler (2), None (),0,0,0,0,0,0,0,-0.55,0.14,-0.56,0,0,0,-10.127,0.021,-0.019
0.48,0,0.472, 2021/07/20 18:25:36.480 PM,1310840736,239136.48,37.42897738,-122.1844003,40.938,0,0,0,-0.2,0,7, SPS (3), Doppler (2), None (),0,0,0,0,0,0,0,-1.15,-0.24,-0.9,0,0,0,-10.134,-0.082,0.14
0.488,0,0.48, 2021/07/20 18:25:36.488 PM,1310840736,239136.488,37.42897738,-122.1844003,40.938,0,0,0,-0.2,0,7, SPS (3), Doppler (2), None (),0,0,0,0,0,0,0,-1.94,-1.27,-0.9,0,0,0,-10.124,-0.164,0.039
0.5,0,0.492, 2021/07/20 18:25:36.500 PM,1310840737,239136.5,37.42897738,-122.1844003,40.938,0,0,0,-0.2,0,7, SPS (3), Doppler (2), None (),0,0,0,0,0,0,0,-1.04,-0.99,-0.26,0,0,0,-9.94,-0.165,0.112
0.508,0,0.5, 2021/07/20 18:25:36.508 PM,1310840737,239136.508,37.42897738,-122.1844003,40.938,0,0,0,-0.2,0,7, SPS (3), Doppler (2), None (),0,0,0,0,0,0,0,-1.58,-0.79,-1.09,0,0,0,-9.99,-0.132,0.12
0.52,0,0.512, 2021/07/20 18:25:36.520 PM,1310840737,239136.52,37.42897738,-122.1844003,40.938,0,0,0,-0.2,0,7, SPS (3), Doppler (2), None (),0,0,0,0,0,0,0,-1.36,-0.57,-0.76,0,0,0,-9.827,-0.293,0.214
0.528,0,0.52, 2021/07/20 18:25:36.528 PM,1310840737,239136.528,37.42897738,-122.1844003,40.938,0,0,0,-0.2,0,7, SPS (3), Doppler (2), None (),0,0,0,0,0,0,0,-1.73,-1.46,-0.32,0,0,0,-9.656,-0.191,0.083
0.54,0,0.532, 2021/07/20 18:25:36.540 PM,1310840737,239136.54,37.42897738,-122.1844003,40.938,0,0,0,-0.2,0,7, SPS (3), Doppler (2), None (),0,0,0,0,0,0,0,-0.51,-1.21,0.11,0,0,0,-9.553,-0.178,0.226
0.548,0,0.54, 2021/07/20 18:25:36.548 PM,1310840737,239136.548,37.42897738,-122.1844003,40.938,0,0,0,-0.2,0,7, SPS (3), Doppler (2), None (),0,0,0,0,0,0,0,-0.95,-1.73,-0.94,0,0,0,-9.387,-0.057,0.375
0.56,0,0.552, 2021/07/20 18:25:36.560 PM,1310840737,239136.56,37.42897738,-122.1844003,40.938,0,0,0,-0.2,0,7, SPS (3), Doppler (2), None (),0,0,0,0,0,0,0,-0.86,-0.76,0.06,0,0,0,-9.333,-0.096,0.259
0.568,0,0.56, 2021/07/20 18:25:36.568 PM,1310840737,239136.568,37.42896972,-122.1844044,39.164,0,0,0,-0.11,0,8, SPS (3), Doppler (2), None (),0,0,0,0,0,0,0,-1.16,-0.3,-0.24,0,0,0,-9.417,-0.035,0.304
0.58,0,0.572, 2021/07/20 18:25:36.580 PM,1310840737,239136.58,37.42896972,-122.1844044,39.164,0,0,0,-0.11,0,8, SPS (3), Doppler (2), None (),0,0,0,0,0,0,0,-0.66,-0.09,-0.37,0,0,0,-9.396,0.085,0.3
0.588,0,0.58, 2021/07/20 18:25:36.588 PM,1310840737,239136.588,37.42896972,-122.1844044,39.164,0,0,0,-0.11,0,8, SPS (3), Doppler (2), None (),0,0,0,0,0,0,0,-0.92,0.3,-0.73,0,0,0,-9.398,0.121,0.019
0.6,0,0.592, 2021/07/20 18:25:36.600 PM,1310840737,239136.6,37.42896972,-122.1844044,39.164,0,0,0,-0.11,0,8, SPS (3), Doppler (2), None (),0,0,0,0,0,0,0,-1.87,0.61,-0.66,0,0,0,-9.426,-0.078,0.154
0.608,0,0.6, 2021/07/20 18:25:36.608 PM,1310840737,239136.608,37.42896972,-122.1844044,39.164,0,0,0,0.19,0,8, SPS (3), Doppler (2), None (),0,0,0,0,0,0,0,-0.92,0.27,-0.57,0,0,0,-9.503,-0.165,-0.057
0.62,0,0.612, 2021/07/20 18:25:36.620 PM,1310840737,239136.62,37.42896972,-122.1844044,39.164,0,0,0,0.19,0,8, SPS (3), Doppler (2), None (),0,0,0,0,0,0,0,-1.88,0.06,-1.27,0,0,0,-9.607,-0.111,0.091
0.628,0,0.62, 2021/07/20 18:25:36.628 PM,1310840737,239136.628,37.42896972,-122.1844044,39.164,0,0,0,0.19,0,8, SPS (3), Doppler (2), None (),0,0,0,0,0,0,0,-0.81,-0.36,-0.44,0,0,0,-9.649,-0.109,0.049
0.64,0,0.632, 2021/07/20 18:25:36.640 PM,1310840737,239136.64,37.42896972,-122.1844044,39.164,0,0,0,0.19,0,8, SPS (3), Doppler (2), None (),0,0,0,0,0,0,0,-0.9,-0.29,-0.25,0,0,0,-9.685,-0.209,0.027
0.648,0,0.64, 2021/07/20 18:25:36.648 PM,1310840737,239136.648,37.42896972,-122.1844044,39.164,0,0,0,0.19,0,8, SPS (3), Doppler (2), None (),0,0,0,0,0,0,0,-0.9,-0.24,-1.18,0,0,0,-9.914,-0.222,0.013
0.66,0,0.652, 2021/07/20 18:25:36.660 PM,1310840737,239136.66,37.42896972,-122.1844044,39.164,0,0,0,0.19,0,8, SPS (3), Doppler (2), None (),0,0,0,0,0,0,0,-0.94,-0.46,-1.26,0,0,0,-9.91,-0.122,0.123
0.668,0,0.66, 2021/07/20 18:25:36.668 PM,1310840737,239136.668,37.42896972,-122.1844044,39.164,0,0,0,0.19,0,8, SPS (3), Doppler (2), None (),0,0,0,0,0,0,0,-1.26,0.38,0.61,0,0,0,-9.997,-0.17,-0.051
0.68,0,0.672, 2021/07/20 18:25:36.680 PM,1310840737,239136.68,37.42896972,-122.1844044,39.164,0,0,0,0.19,0,8, SPS (3), Doppler (2), None (),0,0,0,0,0,0,0,-1.15,-1.04,-0.98,0,0,0,-10.092,-0.132,0.156
0.688,0,0.68, 2021/07/20 18:25:36.688 PM,1310840737,239136.688,37.42896972,-122.1844044,39.164,0,0,0,0.19,0,8, SPS (3), Doppler (2), None (),0,0,0,0,0,0,0,-1.44,-0.58,-0.25,0,0,0,-10.123,-0.148,0.198
0.7,0,0.692, 2021/07/20 18:25:36.700 PM,1310840737,239136.7,37.42896972,-122.1844044,39.164,0,0,0,0.19,0,8, SPS (3), Doppler (2), None (),0,0,0,0,0,0,0,-2.06,-0.46,-0.87,0,0,0,-10.08,-0.181,0.117
0.708,0,0.7, 2021/07/20 18:25:36.708 PM,1310840737,239136.708,37.42896972,-122.1844044,39.164,0,0,0,-0.12,0,8, SPS (3), Doppler (2), None (),0,0,0,0,0,0,0,-0.76,-0.6,-1.37,0,0,0,-10.044,-0.188,0.135
0.72,0,0.712, 2021/07/20 18:25:36.720 PM,1310840737,239136.72,37.42896972,-122.1844044,39.164,0,0,0,-0.12,0,8, SPS (3), Doppler (2), None (),0,0,0,0,0,0,0,-0.54,-0.79,-1.11,0,0,0,-10.05,-0.121,0.079
0.728,0,0.72, 2021/07/20 18:25:36.728 PM,1310840737,239136.728,37.42896972,-122.1844044,39.164,0,0,0,-0.12,0,8, SPS (3), Doppler (2), None (),0,0,0,0,0,0,0,-1.41,-0.7,-1.31,0,0,0,-9.899,-0.265,0.146
0.74,0,0.732, 2021/07/20 18:25:36.740 PM,1310840737,239136.74,37.42896972,-122.1844044,39.164,0,0,0,-0.12,0,8, SPS (3), Doppler (2), None (),0,0,0,0,0,0,0,-0.71,-0.65,-1.17,0,0,0,-9.842,-0.242,0.027
0.748,0,0.74, 2021/07/20 18:25:36.748 PM,1310840737,239136.748,37.42896972,-122.1844044,39.164,0,0,0,-0.12,0,8, SPS (3), Doppler (2), None (),0,0,0,0,0,0,0,-0.93,-0.54,-1.73,0,0,0,-9.758,-0.163,0.135
0.76,0,0.752, 2021/07/20 18:25:36.760 PM,1310840737,239136.76,37.42896972,-122.1844044,39.164,0,0,0,-0.12,0,8, SPS (3), Doppler (2), None (),0,0,0,0,0,0,0,-1.06,-0.06,-1.1,0,0,0,-9.838,-0.14,0.129
0.768,0,0.76, 2021/07/20 18:25:36.768 PM,1310840737,239136.768,37.42896972,-122.1844044,39.164,0,0,0,-0.12,0,8, SPS (3), Doppler (2), None (),0,0,0,0,0,0,0,-1.03,-0.69,-1.78,0,0,0,-9.686,-0.116,0.129
0.78,0,0.772, 2021/07/20 18:25:36.780 PM,1310840737,239136.78,37.42896972,-122.1844044,39.164,0,0,0,-0.12,0,8, SPS (3), Doppler (2), None (),0,0,0,0,0,0,0,-0.93,-0.04,-0.72,0,0,0,-9.725,0.02,0.131
0.788,0,0.78, 2021/07/20 18:25:36.788 PM,1310840737,239136.788,37.42896972,-122.1844044,39.164,0,0,0,-0.12,0,8, SPS (3), Doppler (2), None (),0,0,0,0,0,0,0,-0.74,0.38,-1.03,0,0,0,-9.776,-0.034,0.084
0.8,0,0.792, 2021/07/20 18:25:36.800 PM,1310840737,239136.8,37.42896972,-122.1844044,39.164,0,0,0,-0.12,0,8, SPS (3), Doppler (2), None (),0,0,0,0,0,0,0,-1.23,-0.13,-1.43,0,0,0,-9.72,-0.108,0.17
0.808,0,0.8, 2021/07/20 18:25:36.808 PM,1310840737,239136.808,37.42896972,-122.1844044,39.164,0,0,0,-0.12,0,8, SPS (3), Doppler (2), None (),0,0,0,0,0,0,0,-0.6,-0.87,-1.64,0,0,0,-9.789,-0.015,0.123
0.82,0,0.812, 2021/07/20 18:25:36.820 PM,1310840737,239136.82,37.42896972,-122.1844044,39.164,0,0,0,-0.19,0,8, SPS (3), Doppler (2), None (),0,0,0,0,0,0,0,-1.3,-0.78,-1.46,0,0,0,-9.774,-0.131,0.207
0.828,0,0.82, 2021/07/20 18:25:36.828 PM,1310840737,239136.828,37.42896972,-122.1844044,39.164,0,0,0,-0.19,0,8, SPS (3), Doppler (2), None (),0,0,0,0,0,0,0,-1.79,-0.61,-2.08,0,0,0,-9.76,-0.208,0.192
0.84,0,0.832, 2021/07/20 18:25:36.840 PM,1310840737,239136.84,37.42896972,-122.1844044,39.164,0,0,0,-0.19,0,8, SPS (3), Doppler (2), None (),0,0,0,0,0,0,0,-1.05,0.07,-1.98,0,0,0,-9.736,-0.135,0
0.848,0,0.84, 2021/07/20 18:25:36.848 PM,1310840737,239136.848,37.42896972,-122.1844044,39.164,0,0,0,-0.19,0,8, SPS (3), Doppler (2), None (),0,0,0,0,0,0,0,-1.21,-0.3,-1.27,0,0,0,-9.783,-0.243,0.091
0.86,0,0.852, 2021/07/20 18:25:36.860 PM,1310840737,239136.86,37.42896972,-122.1844044,39.164,0,0,0,-0.19,0,8, SPS (3), Doppler (2), None (),0,0,0,0,0,0,0,-0.84,0.55,-1.01,0,0,0,-9.733,-0.212,0.061
0.868,0,0.86, 2021/07/20 18:25:36.868 PM,1310840737,239136.868,37.42896972,-122.1844044,39.164,0,0,0,-0.19,0,8, SPS (3), Doppler (2), None (),0,0,0,0,0,0,0,-1.42,-0.52,-1.44,0,0,0,-9.647,-0.241,0.195
0.88,0,0.872, 2021/07/20 18:25:36.880 PM,1310840737,239136.88,37.42896972,-122.1844044,39.164,0,0,0,-0.19,0,8, SPS (3), Doppler (2), None (),0,0,0,0,0,0,0,-0.83,-0.78,-0.86,0,0,0,-9.626,-0.21,0.124
0.888,0,0.88, 2021/07/20 18:25:36.888 PM,1310840737,239136.888,37.42896972,-122.1844044,39.164,0,0,0,-0.19,0,8, SPS (3), Doppler (2), None (),0,0,0,0,0,0,0,-0.66,-0.36,-1.55,0,0,0,-9.711,-0.309,0.205
0.9,0,0.892, 2021/07/20 18:25:36.900 PM,1310840737,239136.9,37.42896972,-122.1844044,39.164,0,0,0,-0.19,0,8, SPS (3), Doppler (2), None (),0,0,0,0,0,0,0,-0.96,-0.96,-1.17,0,0,0,-9.653,-0.281,0.194
0.908,0,0.9, 2021/07/20 18:25:36.908 PM,1310840737,239136.908,37.42896972,-122.1844044,39.164,0,0,0,0.04,0,8, SPS (3), Doppler (2), None (),0,0,0,0,0,0,0,-0.74,0.09,-0.84,0,0,0,-9.679,-0.329,0.183
0.92,0,0.912, 2021/07/20 18:25:36.920 PM,1310840737,239136.92,37.42896972,-122.1844044,39.164,0,0,0,0.04,0,8, SPS (3), Doppler (2), None (),0,0,0,0,0,0,0,-0.93,0.09,-0.56,0,0,0,-9.8,-0.333,-0.028
0.928,0,0.92, 2021/07/20 18:25:36.928 PM,1310840737,239136.928,37.42896972,-122.1844044,39.164,0,0,0,0.04,0,8, SPS (3), Doppler (2), None (),0,0,0,0,0,0,0,-0.3,-0.08,-0.92,0,0,0,-9.682,-0.367,0.161
0.94,0,0.932, 2021/07/20 18:25:36.940 PM,1310840737,239136.94,37.42896972,-122.1844044,39.164,0,0,0,0.04,0,8, SPS (3), Doppler (2), None (),0,0,0,0,0,0,0,-1.47,0.29,-0.28,0,0,0,-9.819,-0.579,0.067
0.948,0,0.94, 2021/07/20 18:25:36.948 PM,1310840737,239136.948,37.42896972,-122.1844044,39.164,0,0,0,0.04,0,8, SPS (3), Doppler (2), None (),0,0,0,0,0,0,0,-1.13,-0.45,-0.03,0,0,0,-9.724,-0.483,0.18
0.96,0,0.952, 2021/07/20 18:25:36.960 PM,1310840737,239136.96,37.42896972,-122.1844044,39.164,0,0,0,0.04,0,8, SPS (3), Doppler (2), None (),0,0,0,0,0,0,0,-0.59,-0.44,-0.19,0,0,0,-9.91,-0.304,0.012
0.968,0,0.96, 2021/07/20 18:25:36.968 PM,1310840737,239136.968,37.42896972,-122.1844044,39.164,0,0,0,0.04,0,8, SPS (3), Doppler (2), None (),0,0,0,0,0,0,0,-0.96,0.49,-0.04,0,0,0,-9.858,-0.391,0.048
0.98,0,0.972, 2021/07/20 18:25:36.980 PM,1310840737,239136.98,37.42896972,-122.1844044,39.164,0,0,0,0.04,0,8, SPS (3), Doppler (2), None (),0,0,0,0,0,0,0,-1.07,-0.03,0.72,0,0,0,-9.828,-0.266,0.04
0.988,0,0.98, 2021/07/20 18:25:36.988 PM,1310840737,239136.988,37.42896972,-122.1844044,39.164,0,0,0,0.04,0,8, SPS (3), Doppler (2), None (),0,0,0,0,0,0,0,-1.12,-0.53,-0.07,0,0,0,-9.923,-0.298,0.114
1,0,0.992, 2021/07/20 18:25:37.000 PM,1310840737,239137,37.42896972,-122.1844044,39.164,0,0,0,0.04,0,8, SPS (3), Doppler (2), None (),0,0,0,0,0,0,0,-1.81,-0.3,0.58,0,0,0,-9.88,-0.27,0.005
