%time,field.iTOW,field.fTOW,field.week,field.gpsFix,field.flags,field.ecefX,field.ecefY,field.ecefZ,field.pAcc,field.ecefVX,field.ecefVY,field.ecefVZ,field.sAcc,field.pDOP,field.reserved1,field.numSV,field.reserved2
1626822624397637385,256242000,152270,2167,3,223,-270124954,-429208605,385509991,112,8,2,7,2,145,2,11,91940
1626822624633857664,256242250,152245,2167,3,223,-270124947,-429208602,385510000,112,8,2,7,2,188,2,10,91940
1626822624878763865,256242500,152220,2167,3,223,-270124938,-429208598,385510009,113,9,2,8,2,188,2,10,91940
1626822625130498401,256242750,152195,2167,3,223,-270124928,-429208595,385510021,113,9,2,8,2,188,2,10,91940
1626822625380673601,256243000,152170,2167,3,223,-270124916,-429208589,385510035,113,9,2,8,2,188,2,10,91940
1626822625635871451,256243250,152145,2167,3,223,-270124907,-429208583,385510044,113,10,3,9,2,188,2,10,91940
1626822625880796476,256243500,152120,2167,3,223,-270124897,-429208576,385510054,114,10,3,9,3,188,2,10,91940
1626822626130961329,256243750,152095,2167,3,223,-270124886,-429208571,385510067,114,10,3,9,3,188,2,10,91940
1626822626381900626,256244000,152070,2167,3,223,-270124872,-429208561,385510079,114,10,3,10,3,188,2,10,91940
1626822626633853337,256244250,152045,2167,3,223,-270124855,-429208549,385510096,114,11,3,10,3,188,2,10,91940
1626822626880208440,256244500,152020,2167,3,223,-270124840,-429208540,385510111,114,11,4,11,4,188,2,10,91940
1626822627183927732,256244750,151994,2167,3,223,-270124832,-429208529,385510125,115,11,4,11,4,225,2,9,91940
1626822627461856787,256245000,151968,2167,3,223,-270124824,-429208516,385510142,115,11,4,12,4,225,2,9,91940
1626822627700424660,256245250,151943,2167,3,223,-270124813,-429208501,385510157,115,12,5,12,4,225,2,9,91940
1626822628062020430,256245500,151918,2167,3,223,-270124806,-429208494,385510161,115,12,5,12,4,276,2,7,91940
1626822628590833676,256246000,151869,2167,3,223,-270124786,-429208487,385510166,116,12,5,12,4,274,2,7,91940
1626822628960941638,256246500,151822,2167,3,223,-270124764,-429208481,385510177,117,13,5,13,4,199,2,9,91940
1626822629261780147,256246750,151799,2167,3,223,-270124743,-429208476,385510183,117,13,5,13,4,206,2,8,91940
1626822629838786549,256247250,151751,2167,3,223,-270124730,-429208466,385510191,118,13,5,13,4,164,2,8,91940
1626822630385960752,256247750,151704,2167,3,223,-270124717,-429208460,385510193,118,13,5,13,4,179,2,7,91940
1626822630875962195,256248250,151658,2167,3,223,-270124701,-429208456,385510195,119,14,5,13,4,179,2,7,91940
1626822631363267166,256248750,151613,2167,3,223,-270124682,-429208449,385510194,120,14,5,12,3,179,2,7,91940
1626822631751862075,256249250,151568,2167,3,223,-270124658,-429208433,385510193,120,14,6,12,4,165,2,8,91940
1626822632246306389,256249750,151524,2167,3,223,-270124637,-429208425,385510191,121,15,6,12,3,179,2,7,91940
1626822632748369960,256250250,151480,2167,3,223,-270124620,-429208415,385510191,122,15,6,12,3,175,2,7,91940
1626822633252747072,256250750,151436,2167,3,223,-270124600,-429208405,385510189,122,15,6,12,3,228,2,8,91940
1626822633753508323,256251250,151392,2167,3,223,-270124582,-429208394,385510189,123,15,6,12,3,238,2,7,91940
1626822634244113704,256251750,151349,2167,3,223,-270124564,-429208383,385510189,124,16,6,12,3,238,2,7,91940
1626822634754875703,256252250,151306,2167,3,223,-270124543,-429208373,385510188,125,16,6,12,3,238,2,7,91940
1626822635184856534,256252750,151263,2167,3,223,-270124518,-429208365,385510184,126,16,6,11,3,165,2,8,91940
1626822635442045435,256253000,151243,2167,3,223,-270124497,-429208355,385510176,126,17,6,11,3,179,2,7,91940
1626822635690872778,256253250,151222,2167,3,223,-270124477,-429208344,385510169,126,17,6,11,3,179,2,7,91940
1626822635933032566,256253500,151202,2167,3,223,-270124458,-429208336,385510163,126,17,6,11,3,242,2,7,91940
1626822636184034960,256253750,151181,2167,3,223,-270124435,-429208326,385510156,133,18,7,11,3,242,2,7,91940
1626822636451244201,256254000,151161,2167,3,223,-270124414,-429208312,385510150,138,18,7,11,3,236,2,8,91940
1626822636694583458,256254250,151140,2167,3,223,-270124395,-429208296,385510143,140,18,7,10,3,236,2,8,91940
1626822636936173517,256254500,151120,2167,3,223,-270124377,-429208284,385510138,140,19,7,10,3,236,2,8,91940
1626822637185134743,256254750,151100,2167,3,223,-270124357,-429208269,385510131,144,19,7,10,3,256,2,7,91940
1626822637454595781,256255000,151080,2167,3,223,-270124339,-429208254,385510126,146,19,7,10,3,256,2,7,91940
1626822637698249527,256255250,151060,2167,3,223,-270124321,-429208243,385510121,148,20,8,10,3,256,2,7,91940
1626822637936775042,256255500,151041,2167,3,223,-270124303,-429208232,385510116,148,20,8,10,3,175,2,7,91940
1626822638186859724,256255750,151021,2167,3,223,-270124288,-429208223,385510114,148,20,8,10,3,242,2,7,91940
1626822638441814953,256256000,151001,2167,3,223,-270124275,-429208213,385510113,147,20,8,10,2,242,2,7,91940
1626822638694511929,256256250,150981,2167,3,223,-270124262,-429208200,385510110,147,20,8,10,2,242,2,7,91940
1626822638933848572,256256500,150962,2167,3,223,-270124242,-429208179,385510102,149,21,8,10,2,254,2,7,91940
1626822639184886546,256256750,150942,2167,3,223,-270124221,-429208164,385510094,152,21,9,9,3,254,2,7,91940
1626822639436120653,256257000,150922,2167,3,223,-270124206,-429208154,385510089,151,21,9,9,2,254,2,7,91940
1626822639694203034,256257250,150902,2167,3,223,-270124186,-429208141,385510083,153,21,9,9,2,165,2,8,91940
1626822639931745626,256257500,150882,2167,3,223,-270124169,-429208128,385510077,155,22,9,9,2,242,2,7,91940
1626822640187046033,256257750,150862,2167,3,223,-270124148,-429208113,385510068,157,22,9,9,2,277,2,7,91940
1626822640438094104,256258000,150842,2167,3,223,-270124125,-429208103,385510059,161,22,9,9,2,277,2,7,91940
