%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1626822619131308908,8376,1626822619131114158,gps_base,0,1,37.4265666,-122.18450759999999,6.267,0.33524099999999996,0.0,0.0,0.0,0.33524099999999996,0.0,0.0,0.0,0.8445610000000001,2
1626822619383095932,8377,1626822619383027363,gps_base,0,1,37.426567,-122.18450729999999,6.26,0.33408399999999994,0.0,0.0,0.0,0.33408399999999994,0.0,0.0,0.0,0.8464,2
1626822619639990958,8378,1626822619639869113,gps_base,0,1,37.426567399999996,-122.184507,6.251,0.332929,0.0,0.0,0.0,0.332929,0.0,0.0,0.0,0.8464,2
1626822619881306791,8379,1626822619881237858,gps_base,0,1,37.426567899999995,-122.1845067,6.244,0.33177599999999996,0.0,0.0,0.0,0.33177599999999996,0.0,0.0,0.0,0.848241,2
1626822620132250466,8380,1626822620132158433,gps_base,0,1,37.4265683,-122.18450639999999,6.223,0.332929,0.0,0.0,0.0,0.332929,0.0,0.0,0.0,0.8500840000000001,2
1626822620388131364,8381,1626822620388029941,gps_base,0,1,37.4265688,-122.184506,6.198,0.33408399999999994,0.0,0.0,0.0,0.33408399999999994,0.0,0.0,0.0,0.851929,2
1626822620637507251,8382,1626822620637369780,gps_base,0,1,37.4265694,-122.18450569999999,6.187,0.33524099999999996,0.0,0.0,0.0,0.33524099999999996,0.0,0.0,0.0,0.8556250000000001,2
1626822620880275870,8383,1626822620880130388,gps_base,0,1,37.42657,-122.18450539999999,6.1770000000000005,0.3364,0.0,0.0,0.0,0.3364,0.0,0.0,0.0,0.8574760000000001,2
1626822621132221554,8384,1626822621132107343,gps_base,0,1,37.4265708,-122.184505,6.1610000000000005,0.3364,0.0,0.0,0.0,0.3364,0.0,0.0,0.0,0.8574760000000001,2
1626822621390336130,8385,1626822621390158342,gps_base,0,1,37.4265715,-122.18450469999999,6.158,0.33756099999999994,0.0,0.0,0.0,0.33756099999999994,0.0,0.0,0.0,0.8611840000000001,2
1626822621640511455,8386,1626822621640150446,gps_base,0,1,37.4265723,-122.1845044,6.143,0.33872399999999997,0.0,0.0,0.0,0.33872399999999997,0.0,0.0,0.0,0.8649000000000001,2
1626822621885998389,8387,1626822621885794150,gps_base,0,1,37.4265729,-122.1845041,6.127,0.34105599999999997,0.0,0.0,0.0,0.34105599999999997,0.0,0.0,0.0,0.8686240000000001,2
1626822622136934061,8388,1626822622136750451,gps_base,0,1,37.4265738,-122.1845037,6.118,0.34222499999999995,0.0,0.0,0.0,0.34222499999999995,0.0,0.0,0.0,0.8723560000000001,2
1626822622389829878,8389,1626822622389656218,gps_base,0,1,37.4265744,-122.18450329999999,6.097,0.343396,0.0,0.0,0.0,0.343396,0.0,0.0,0.0,0.8760960000000001,2
1626822622644835515,8390,1626822622644513221,gps_base,0,1,37.426575299999996,-122.1845029,6.093,0.34456899999999996,0.0,0.0,0.0,0.34456899999999996,0.0,0.0,0.0,0.8798439999999998,2
1626822622884065552,8391,1626822622883847905,gps_base,0,1,37.4265762,-122.1845025,6.087,0.34574399999999994,0.0,0.0,0.0,0.34574399999999994,0.0,0.0,0.0,0.8835999999999999,2
1626822623136167379,8392,1626822623135996415,gps_base,0,1,37.4265768,-122.18450209999999,6.072,0.34809999999999997,0.0,0.0,0.0,0.34809999999999997,0.0,0.0,0.0,0.8873639999999999,2
1626822623386183416,8393,1626822623386038814,gps_base,0,1,37.426577699999996,-122.1845017,6.053,0.35046399999999994,0.0,0.0,0.0,0.35046399999999994,0.0,0.0,0.0,0.889249,2
1626822623649675792,8394,1626822623649554817,gps_base,0,1,37.4265784,-122.18450139999999,6.032,0.351649,0.0,0.0,0.0,0.351649,0.0,0.0,0.0,0.893025,2
1626822623883001194,8395,1626822623882823699,gps_base,0,1,37.4265792,-122.18450089999999,6.025,0.354025,0.0,0.0,0.0,0.354025,0.0,0.0,0.0,0.8968089999999999,2
1626822624138234994,8396,1626822624138052371,gps_base,0,1,37.426580099999995,-122.1845005,5.998,0.355216,0.0,0.0,0.0,0.355216,0.0,0.0,0.0,0.898704,2
1626822624400085658,8397,1626822624399874275,gps_base,0,1,37.4265809,-122.1845001,5.988,0.357604,0.0,0.0,0.0,0.357604,0.0,0.0,0.0,0.9006009999999999,2
1626822624637604822,8398,1626822624637436090,gps_base,0,1,37.426581899999995,-122.1844996,5.989,0.36,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.9044009999999999,2
1626822624880503848,8399,1626822624880360609,gps_base,0,1,37.426583,-122.18449899999999,5.984,0.36240399999999995,0.0,0.0,0.0,0.36240399999999995,0.0,0.0,0.0,0.9082089999999999,2
1626822625133512478,8400,1626822625133427598,gps_base,0,1,37.4265843,-122.1844982,5.989,0.36360899999999996,0.0,0.0,0.0,0.36360899999999996,0.0,0.0,0.0,0.912025,2
1626822625382168608,8401,1626822625382057483,gps_base,0,1,37.4265859,-122.1844974,5.984,0.364816,0.0,0.0,0.0,0.364816,0.0,0.0,0.0,0.9158489999999999,2
1626822625638937558,8402,1626822625638775053,gps_base,0,1,37.4265871,-122.1844969,5.961,0.367236,0.0,0.0,0.0,0.367236,0.0,0.0,0.0,0.919681,2
1626822625882532267,8403,1626822625882448040,gps_base,0,1,37.4265885,-122.1844964,5.937,0.36844899999999997,0.0,0.0,0.0,0.36844899999999997,0.0,0.0,0.0,0.9216,2
1626822626132623965,8404,1626822626132252856,gps_base,0,1,37.426589899999996,-122.18449559999999,5.932,0.37088099999999996,0.0,0.0,0.0,0.37088099999999996,0.0,0.0,0.0,0.9254439999999999,2
1626822626383788902,8405,1626822626383660892,gps_base,0,1,37.426591699999996,-122.18449489999999,5.877,0.3721,0.0,0.0,0.0,0.3721,0.0,0.0,0.0,0.9254439999999999,2
